name,gfn2_alpha(A^3),add_alpha(A^3),dft_alpha(A^3),subset
64509545,23.007175610388646,24.237000000000005,22.87047774,pcqc
10632416,23.170801464949484,24.59300000000001,22.872947490000005,pcqc
54252029,21.80956055503073,23.19400000000001,22.873589625,pcqc
18793382,19.999297594053022,20.475,22.874676315,pcqc
44240829,22.698208116421924,24.255000000000006,22.874775105000005,pcqc
13083142,22.744353724621657,24.385,22.87512087,pcqc
46312424,22.486494544835328,24.096,22.876553325,pcqc
18444226,21.950461543193782,23.119000000000003,22.87739304,pcqc
5147657,22.941350331607822,23.957000000000004,22.877393040000005,pcqc
54926237,22.97764965848209,23.94200000000001,22.87966521,pcqc
12568051,21.3761753992598,22.592,22.881542220000004,pcqc
1211758,21.011022782904348,22.546999999999997,22.881789195000003,pcqc
9964302,21.130435061531074,22.36300000000001,22.882875885000004,pcqc
23022588,23.213942628128105,24.35400000000001,22.88332044,pcqc
53961704,22.991633997869965,24.461,22.88381439,pcqc
62832603,22.721277215904014,23.752,22.885148055,pcqc
58418004,22.014831796294576,22.955000000000005,22.886333535,pcqc
57719319,23.343139839609837,25.25200000000001,22.890186345000004,pcqc
62973400,22.448428559833218,23.407000000000004,22.891717590000006,pcqc
590826,22.19776700784301,23.08900000000001,22.89240912,pcqc
3063248,22.461231718887504,23.795,22.894137945,pcqc
54027703,23.239626298655953,24.461,22.89596556,pcqc
56629301,22.732322459728408,23.804,22.897299225000005,pcqc
44252216,23.859053210262534,24.71900000000001,22.899966555,pcqc
62752447,22.3174507608608,23.249,22.900559295,pcqc
22320912,23.71921055730741,24.77900000000001,22.901053245000003,pcqc
2849776,23.182790349015303,24.02800000000001,22.90115203500001,pcqc
4717631,22.517970903911685,23.747000000000003,22.901547195000006,pcqc
14910435,22.731617693241585,24.04600000000001,22.902238725,pcqc
54033122,22.922866659831467,23.84500000000001,22.90554819,pcqc
13473363,21.919251620228305,22.31100000000001,22.905646980000004,pcqc
15530690,22.710337035039892,23.887000000000004,22.905696375000005,pcqc
2748817,21.53445400851423,22.46100000000001,22.907474595000004,pcqc
53673722,21.22564225667906,22.351000000000006,22.90782036,pcqc
65102943,22.03351477650759,23.361,22.908561285,pcqc
24264332,22.689634741766305,23.926000000000005,22.910537085,pcqc
60687995,22.87507486767416,24.06600000000001,22.913401995000005,pcqc
21840496,22.131861264763977,23.21700000000001,22.913599575000006,pcqc
20116753,22.778376193407173,23.940000000000005,22.91384655,pcqc
50741623,22.481910598976704,23.801000000000005,22.914044130000004,pcqc
63750155,22.673689474094115,23.97000000000001,22.91552598,pcqc
28466097,22.579504901638646,24.066999999999997,22.917156015,pcqc
60665857,23.23171308688909,24.112000000000005,22.917353595,pcqc
64157967,22.20202020542607,23.149000000000004,22.919922135,pcqc
58646737,23.61493386509046,25.009000000000004,22.920712455,pcqc
1788249,23.05014502748689,24.42900000000001,22.922046120000005,pcqc
348645,21.329236261931165,22.526,22.923676155,pcqc
65244770,23.058539395011266,24.322000000000006,22.925355585000005,pcqc
54910403,21.525806245133566,22.859,22.92896142,pcqc
63988092,23.114126295720574,24.234,22.92906021000001,pcqc
58779530,23.43931008719641,23.903,22.92955416,pcqc
7019285,23.1962612283786,24.545,22.929801135000005,pcqc
26343624,22.065498223665944,22.957000000000004,22.931480565,pcqc
62857598,23.07374551734361,24.315000000000005,22.93291302,pcqc
57307003,22.105754526885423,23.456000000000003,22.933555155000004,pcqc
43564297,23.40277322022996,24.545,22.936024905,pcqc
5232344,22.565989418677262,23.51400000000001,22.937803125,pcqc
64201240,22.79748016638493,23.88900000000001,22.93923558,pcqc
40554678,23.010128635314953,24.31100000000001,22.93933437,pcqc
43641877,22.31369487116878,23.485000000000007,22.939680135000003,pcqc
11790490,23.29844140330041,24.56900000000001,22.940174085,pcqc
63053245,23.46152727277337,24.455000000000005,22.941902910000003,pcqc
59942187,21.699281492898827,22.351999999999997,22.946496645000003,pcqc
53218892,21.830193497859444,23.301,22.946891805000003,pcqc
45091441,21.617468121064267,22.78800000000001,22.947682125,pcqc
64609585,22.921332948069768,24.14800000000001,22.94901579,pcqc
43208750,22.66915709651501,23.887000000000004,22.94970732,pcqc
65041646,22.62871689606884,24.180000000000003,22.954893795000004,pcqc
63389564,22.988112684575906,24.26500000000001,22.955486535,pcqc
43499683,23.179100105150386,24.360000000000007,22.95928995,pcqc
58533809,23.081871966910008,24.73800000000001,22.959981480000003,pcqc
10489863,23.25929989366385,23.65600000000001,22.962105465000004,pcqc
43840149,23.26985405335509,24.40900000000001,22.962451230000006,pcqc
43266114,23.640842183640608,24.54700000000001,22.965464325,pcqc
62834286,22.55503797577509,23.75000000000001,22.96610646,pcqc
803189,21.491493778868083,22.59500000000001,22.969712295,pcqc
64820708,23.171337745419606,24.160000000000004,22.97134233,pcqc
