Folder,Molecule,alpha_GFN2,alpha_wb97,error
pubchemqc,5192315,24.24416675178104,26.164974470077986,1.92080771829695
mike-copolymer,31-50,27.345266323999997,29.26576667,1.920500346
pubchemqc,6266091,24.066854853656128,25.98715281654628,1.92029796289015
homopolymer,4-sp95,55.11132536,57.03120799999999,1.91988263999999
mike-copolymer,6-59,25.25380388,27.17363867,1.91983479
mike-copolymer,36-100,27.979009428,29.89693733,1.917927902
mike-copolymer,55-80,30.001986352,31.9199,1.917913648
mike-copolymer,42-76,30.050352308,31.967852,1.917499692
mike-copolymer,23-39,28.213907923999997,30.12890267,1.914994746
mike-copolymer,57-100,30.932997371999996,32.846232,1.91323462800001
mike-copolymer,24-55,28.805238076,30.71715333,1.911915254
mike-copolymer,37-66,27.765852871999996,29.67671333,1.910860458
mike-copolymer,27-33,26.498656595999996,28.40657733,1.907920734
mike-copolymer,39-100,30.25805092,32.16414933,1.90609841
pubchemqc,20466081,21.936854926634965,23.841438197263674,1.90458327062871
mike-copolymer,14-63,30.488717504,32.39147733,1.902759826
mike-copolymer,69-77,30.393549064,32.29547467,1.901925606
mike-copolymer,56-92,27.433959319999996,29.33562267,1.90166335
mike-copolymer,41-64,26.830523063999998,28.73143733,1.900914266
pubchemqc,10774390,20.311317989441463,22.211406373223024,1.90008838378156
mike-copolymer,9-78,24.755064895999997,26.65292533,1.897860434
homopolymer,2-sp56,26.393020707999998,28.28970667,1.896685962
mike-copolymer,39-43,28.661199592,30.55701733,1.895817738
mike-copolymer,28-36,25.109785228000003,27.00531333,1.895528102
mike-copolymer,53-100,29.673919044,31.568991999999998,1.895072956
mike-copolymer,54-93,27.424025263999997,29.318948,1.894922736
mike-copolymer,51-74,29.410828915999996,31.30283867,1.892009754
pubchemqc,59967634,18.85309329787123,20.744377731586443,1.89128443371521
mike-copolymer,43-89,29.315437736,31.20619467,1.890756934
pubchemqc,57228369,23.345105954359045,25.235856330374823,1.89075037601578
mike-copolymer,36-71,26.949733068,28.840464,1.890730932
mike-copolymer,43-56,27.151936143999997,29.042632,1.890695856
kyle-mutants,1661,66.048410956,67.93900533,1.890594374
pubchemqc,21073947,26.811340473086354,28.69745118579205,1.8861107127057
pubchemqc,13734415,22.42103794961617,24.306738190671645,1.88570024105547
mike-copolymer,16-78,26.733318439999998,28.61851333,1.88519489
pubchemqc,13182513,22.82356556566505,24.708318758230753,1.8847531925657
mike-copolymer,6-44,23.458355347999998,25.34273067,1.884375322
kyle-mutants,1137,57.97582643599999,59.859636,1.88380956400001
mike-copolymer,74-79,27.773280844000002,29.656388,1.883107156
mike-copolymer,28-45,23.904557292,25.78756933,1.883012038
pubchemqc,482729,20.309165013771327,22.19214236075709,1.88297734698576
mike-copolymer,24-77,27.810214392,29.69136533,1.881150938
mike-copolymer,39-58,26.593530368,28.47352267,1.879992302
pubchemqc,608878,21.533476582158645,23.41318438167481,1.87970779951617
mike-copolymer,46-67,31.142112788,33.02082267,1.878709882
mike-copolymer,33-75,28.071454371999998,29.94992133,1.878466958
